"REGION","COUNTRY","CITY","ANNUAL_FARE_REVENUE_US_MILLIONS","DAILY_DEMAND_PASSENGERS_PER_DAY","GDP_PER_CAPITA_US","MODAL_SPLIT_PRIVATE_TRANSPORT","MODAL_SPLIT_PUBLIC_TRANSPORT","OPERATING_SPEED","PEAK_FREQUENCY_BUSES_PER_HOUR","PEAK_LOAD_PASSENGERS_PER_HOUR_PER_DIRECTION","POPULATION_DENSITY_METROPOLITAN_AREA","POPULATION_CITY","STANDARD_FARE_US","STATION_SPACING_M","SYSTEM_LENGTH_KM","SYSTEM_NAME","YEAR_SYSTEM_COMMENCED"
"Europe","France","Nantes","Calculated using annual demand and fare","COST - European Cooperation in Science and Technology","data.worldbank.org","www.epomm.eu","www.epomm.eu","COST - European Cooperation in Science and Technology","COST - European Cooperation in Science and Technology","COST - European Cooperation in Science and Technology","www.insee.fr","www.insee.fr","www.tan.fr","Calculated using system length and stations","COST - European Cooperation in Science and Technology","","COST - European Cooperation in Science and Technology"
"Europe","France","Nice","Calculated using annual demand and fare","bhns.fr","data.worldbank.org","www.epomm.eu","www.epomm.eu","","","","www.insee.fr","www.insee.fr","www.lignesdazur.com","","","","bhns.fr"
"Europe","France","Nîmes","Calculated using annual demand and fare","trambus.nimes-metropole.fr","data.worldbank.org","www.nimes-metropole.fr","www.nimes-metropole.fr","www.tangobus.fr","trambus.nimes-metropole.fr","","www.insee.fr","www.insee.fr","www.tangobus.fr","Calculated using system length and stations","trambus.nimes-metropole.fr",NA,"trambus.nimes-metropole.fr"
"Europe","France","Paris","Calculated using annual demand and fare","","data.worldbank.org","www.epomm.eu","www.epomm.eu","","COST - European Cooperation in Science and Technology","","www.insee.fr","www.insee.fr","www.ratp.fr","Calculated using system length and stations","","","COST - European Cooperation in Science and Technology"
"Europe","France","Rouen","Calculated using annual demand and fare","www.la-crea.fr","data.worldbank.org","www.epomm.eu","www.epomm.eu","www.la-crea.fr","COST - European Cooperation in Science and Technology","","www.insee.fr","www.insee.fr","www.reseau-astuce.fr","Calculated using system length and stations","Google Maps","","www.la-crea.fr"
"Europe","France","Saint-Nazaire","Calculated using annual demand and fare","www.mobilicites.com","data.worldbank.org","","","Google Transit","www.mobilicites.com","","www.insee.fr","www.linternaute.com","www.mairie-saintnazaire.fr","Calculated using system length and stations","www.mobilicites.com","","www.aup-urba.fr"
"Europe","France","Strasbourg","Calculated using annual demand and fare","technicity.daimler.com","data.worldbank.org","www.epomm.eu","www.epomm.eu","www.en.strasbourg.eu","","","www.insee.fr","www.insee.fr","www.cts-strasbourg.eu","Calculated using system length and stations","fr.wikipedia.org","","www.lemoniteur.fr"
"Europe","France","Toulouse","","Viva 2010 ( www.uncrd.or.jp ); CERTU 2010","data.worldbank.org","www.epomm.eu","www.epomm.eu","Viva 2010 ( www.uncrd.or.jp ); CERTU 2010","Viva 2010 ( www.uncrd.or.jp ); CERTU 2010","","www.insee.fr","www.insee.fr","","Viva 2010 ( www.uncrd.or.jp ); CERTU 2010","Viva 2010 ( www.uncrd.or.jp ); CERTU 2010","","Viva 2010 ( www.uncrd.or.jp ); CERTU 2010"
"Europe","Germany","Essen","Calculated using annual demand and fare","COST - European Cooperation in Science and Technology","data.worldbank.org","www.epomm.eu","www.epomm.eu","COST - European Cooperation in Science and Technology","COST - European Cooperation in Science and Technology","","","ergebnisse.zensus2011.de","www.evag.de","","COST - European Cooperation in Science and Technology","","COST - European Cooperation in Science and Technology"
"Europe","Germany","Hamburg","Calculated using annual demand and fare","COST - European Cooperation in Science and Technology","data.worldbank.org","www.epomm.eu","www.epomm.eu","COST - European Cooperation in Science and Technology","COST - European Cooperation in Science and Technology","","","ergebnisse.zensus2011.de","www.hvv.de","Calculated using system length and stations","www.via-bus.de","","COST - European Cooperation in Science and Technology"
"Europe","Germany","Oberhausen","","COST - European Cooperation in Science and Technology","data.worldbank.org","www.epomm.eu","www.epomm.eu","COST - European Cooperation in Science and Technology","COST - European Cooperation in Science and Technology","","en.wikipedia.org","www.citypopulation.de","","Calculated using system length and stations","COST - European Cooperation in Science and Technology","COST - European Cooperation in Science and Technology","COST - European Cooperation in Science and Technology"
"Europe","Ireland","Dublin","","Heddebaut O. et. al ""The European Bus with a High Level of Service (BHLS): Concept and Practice"", Built Environment Vol 36, No. 3, 2010","data.worldbank.org","www.cso.ie","www.cso.ie","","","Heddebaut O. et. al ""The European Bus with a High Level of Service (BHLS): Concept and Practice"", Built Environment Vol 36, No. 3, 2010","","www.cso.ie","","","Heddebaut O. et. al ""The European Bus with a High Level of Service (BHLS): Concept and Practice"", Built Environment Vol 36, No. 3, 2010","","Heddebaut O. et. al ""The European Bus with a High Level of Service (BHLS): Concept and Practice"", Built Environment Vol 36, No. 3, 2010"
"Europe","Italy","Brescia","","COST - European Cooperation in Science and Technology","data.worldbank.org","www.epomm.eu","www.epomm.eu","","COST - European Cooperation in Science and Technology","","ISTAT","ISTAT","","","COST - European Cooperation in Science and Technology","","COST - European Cooperation in Science and Technology"
